tweet_id,author_id,conversation_id,timestamp,geolocation_id,num_likes,num_retweets,text,
17123,3801575961,None,29-11-2020 09:41,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17124,2161506154,None,29-11-2020 09:41,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17125,1.25391E+18,None,29-11-2020 09:40,None,0,1,"RT @HkAuthor: Still seeing men'
",
17126,1694428788,None,29-11-2020 09:40,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17127,2799712285,None,29-11-2020 09:40,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17128,1.04432E+18,None,29-11-2020 09:40,None,8,0,"Od 7.12 do 11.12 jsem si vzal '
",
17129,2752306414,None,29-11-2020 09:40,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17130,7.46994E+17,None,29-11-2020 09:39,None,0,503,"RT @CP2077Countdown: 12 days. '
",
17131,1.27398E+18,1.33266E+18,29-11-2020 09:39,None,0,0,"@AORUS_DE #Cyberpunk2077 #RTXo'
",
17132,78719351,None,29-11-2020 09:39,None,1,0,"11 days to go #Cyberpunk2077'
",
17133,8.4002E+17,None,29-11-2020 09:38,None,0,0,"Hack breach at #Kudankulam NPP'
",
17134,1.2588E+18,None,29-11-2020 09:38,None,1,1,"i asked my mom for #Cyberpunk2'
",
17135,7.77177E+17,None,29-11-2020 09:37,None,0,476,"RT @configgamer: \xf0\x9f\x8e\x81 #JeuConcour'
",
17136,2427984971,None,29-11-2020 09:37,None,0,140,"RT @Socket_775: It just blows '
",
17137,2277791071,None,29-11-2020 09:36,None,0,0,"Holy shit, in two days it\xe2\x80\x99ll b'
",
17138,1.11927E+18,None,29-11-2020 09:36,None,0,2302,"RT @CyberpunkGame: Night City '
",
17139,1.19002E+18,None,29-11-2020 09:36,None,2,0,"#Cyberpunk2077  When the game '
",
17140,9.47437E+17,None,29-11-2020 09:36,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17141,1.27148E+18,None,29-11-2020 09:36,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17142,1969197854,None,29-11-2020 09:35,None,0,0,"#Cyberpunk2077 in 10 days !'
",
17143,1.25391E+18,None,29-11-2020 09:35,None,1,0,"Female V street Kid Judy roman'
",
17144,1.31817E+18,None,29-11-2020 09:35,None,0,135,"RT @GermanStrands: #Cyberpunk2'
",
17145,90654005,None,29-11-2020 09:35,None,0,1,"RT @Sakura972: En face de ma t'
",
17146,2953418670,None,29-11-2020 09:35,None,0,1749,"RT @CyberpunkGame: Attention c'
",
17147,1.19002E+18,None,29-11-2020 09:35,None,3,1,"I am from Australia if this  #'
",
17148,1.32875E+18,None,29-11-2020 09:35,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17149,200174809,None,29-11-2020 09:35,None,0,140,"RT @Socket_775: It just blows '
",
17150,1.31333E+18,None,29-11-2020 09:34,None,0,6,"RT @uszymyszy: Rat Racer is th'
",
17151,1.31333E+18,None,29-11-2020 09:34,None,0,6,"RT @uszymyszy: Rat Racer is th'
",
17152,1.31333E+18,None,29-11-2020 09:34,None,0,6,"RT @uszymyszy: Rat Racer is th'
",
17153,418185711,None,29-11-2020 09:34,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17154,7.7633E+17,None,29-11-2020 09:34,None,0,3,"RT @javysouls: 11 d\xc3\xadas. #Cyber'
",
17155,2381407858,None,29-11-2020 09:34,None,0,503,"RT @CP2077Countdown: 12 days. '
",
17156,230697641,None,29-11-2020 09:33,None,4,1,"En face de ma terrasse d\xc3\xa9sol\xc3\xa9 '
",
17157,1.19002E+18,None,29-11-2020 09:33,None,0,0,"@PaweSasko @pawpanasiuk  @tost'
",
17158,1.04754E+18,None,29-11-2020 09:33,None,0,0,"cyberpunk2077\xe4\xba\x88\xe7\xb4\x84\xe3\x81\x97\xe3\x81\xa6\xe3\x81\x93\xe3\x82\x88\n#Cyberpunk'
",
17159,2147843972,None,29-11-2020 09:32,None,0,2302,"RT @CyberpunkGame: Night City '
",
17160,1.25695E+18,None,29-11-2020 09:31,None,0,84,"RT @MonsieurHidan: \xf0\x9f\x8e\x81 #CONCOURS'
",
17161,1.3131E+18,None,29-11-2020 09:31,None,0,476,"RT @configgamer: \xf0\x9f\x8e\x81 #JeuConcour'
",
17162,156004195,None,29-11-2020 09:31,None,0,0,"Man, just thinking about how #'
",
17163,1.05883E+18,None,29-11-2020 09:31,None,0,476,"RT @configgamer: \xf0\x9f\x8e\x81 #JeuConcour'
",
17164,23858443,None,29-11-2020 09:30,None,0,503,"RT @CP2077Countdown: 12 days. '
",
17165,2882839193,None,29-11-2020 09:30,None,0,0,"Will you keep the sex/nudity i'
",
17166,8.23589E+17,None,29-11-2020 09:29,None,0,0,"Map of #Cyberpunk2077 develope'
",
17167,4573068914,None,29-11-2020 09:29,None,0,1,"RT @Eurogamer_it: #Cyberpunk20'
",
17168,1.30196E+18,None,29-11-2020 09:29,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17169,1.04679E+18,None,29-11-2020 09:29,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17170,189293719,None,29-11-2020 09:29,None,0,420,"RT @CP2077Countdown: After tod'
",
17171,1.25947E+18,None,29-11-2020 09:29,None,0,5,"RT @imNikhilAnudeep: Whenever '
",
17172,16055523,None,29-11-2020 09:29,None,0,1749,"RT @CyberpunkGame: Attention c'
",
17173,1.32844E+18,None,29-11-2020 09:28,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17174,2744918626,None,29-11-2020 09:28,None,0,0,"God I\'m so excited! Not long n'
",
17175,1.28217E+18,None,29-11-2020 09:28,None,0,279,"RT @CP2077Countdown: Poll: The'
",
17176,1.12605E+18,None,29-11-2020 09:28,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17177,279653199,None,29-11-2020 09:28,None,0,279,"RT @CP2077Countdown: Poll: The'
",
17178,1.15403E+18,None,29-11-2020 09:28,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17179,7.59624E+17,None,29-11-2020 09:28,None,0,420,"RT @CP2077Countdown: After tod'
",
17180,1.16221E+18,None,29-11-2020 09:28,None,0,1749,"RT @CyberpunkGame: Attention c'
",
17181,4838930267,None,29-11-2020 09:28,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17182,361162701,None,29-11-2020 09:28,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17183,7.28992E+17,None,29-11-2020 09:27,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17184,90904813,None,29-11-2020 09:27,None,0,0,"https://t.co/mCCXemgfCO \n\n#Sci'
",
17185,1.18547E+18,None,29-11-2020 09:27,None,0,91,"RT @LegacyKillaHD: 12 days awa'
",
17186,1719528584,None,29-11-2020 09:27,None,0,4,"RT @_gabb8: Un affichage tout '
",
17187,90904813,None,29-11-2020 09:27,None,0,0,"https://t.co/bQKpouZt2S\n\n #Sci'
",
17188,2170556788,None,29-11-2020 09:27,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17189,1.04286E+18,None,29-11-2020 09:26,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17190,2801991384,None,29-11-2020 09:26,None,0,279,"RT @CP2077Countdown: Poll: The'
",
17191,90904813,None,29-11-2020 09:26,None,1,0,"https://t.co/gOpVJotr3n\n\n#SciF'
",
17192,1.05519E+18,None,29-11-2020 09:26,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17193,90904813,None,29-11-2020 09:26,None,1,0,"https://t.co/YkYHjQ5ATF\n\n#SciF'
",
17194,1678997197,None,29-11-2020 09:26,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17195,90904813,None,29-11-2020 09:26,None,1,0,"https://t.co/rhPKvAOkoE\n\n#SciF'
",
17196,1.18314E+18,None,29-11-2020 09:26,None,0,351,"RT @KTX_games: \xf0\x9f\x9a\xa8500 FOLLOWER G'
",
17197,90904813,None,29-11-2020 09:26,None,2,0,"https://t.co/ptoDDcsocp\n\n#SciF'
",
17198,90904813,None,29-11-2020 09:26,None,0,0,"https://t.co/jqaCXK4gyA\n\n#SciF'
",
17199,348374267,None,29-11-2020 09:26,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17200,90904813,None,29-11-2020 09:26,None,0,0,"https://t.co/OxBs541RgH\n\n#SciF'
",
17201,1361051917,None,29-11-2020 09:25,None,0,101,"RT @BriHD: #CONCOURS \xf0\x9f\x8e\x81\xf0\x9f\x8e\x89\nL\'atte'
",
17202,90904813,None,29-11-2020 09:25,None,0,0,"https://t.co/qNmrtDd0Ii\n\n#SciF'
",
17203,90904813,None,29-11-2020 09:25,None,0,0,"suck my dicc https://t.co/mCCX'
",
17204,1.17417E+18,None,29-11-2020 09:25,None,0,420,"RT @CP2077Countdown: After tod'
",
17205,259737185,None,29-11-2020 09:25,None,0,3,"RT @javysouls: 11 d\xc3\xadas. #Cyber'
",
17206,1.26563E+18,None,29-11-2020 09:24,None,29,1,"\xd9\x88\xd9\x82\xd8\xaa \xd8\xa7\xd9\x84\xd8\xa3\xd9\x86\xd8\xaa\xd8\xb8\xd8\xa7\xd8\xb1 \xd8\xb4\xd8\xa7\xd8\xb1\xd9\x81 \xd8\xb9\xd9\x84\xd9\x89 \xd8\xa7\xd9\x84\xd8\xa5\xd9\x86\xd8\xaa\xd9\x87\xd8\xa7\xd8\xa1'
",
17207,3382982927,None,29-11-2020 09:24,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17208,8.90665E+17,None,29-11-2020 09:24,None,1,0,"What are you choosing.  #Cyber'
",
17209,1.09745E+18,None,29-11-2020 09:24,None,0,476,"RT @configgamer: \xf0\x9f\x8e\x81 #JeuConcour'
",
17210,1.09044E+18,None,29-11-2020 09:23,None,0,187,"RT @PlayCyberPunk: 12 Days. #C'
",
17211,1.08666E+18,None,29-11-2020 09:23,None,7,0,"Guten Morgen Night City.\nEin s'
",
17212,2559985583,None,29-11-2020 09:23,None,0,28,"RT @FakesForge: Get #Cyberpunk'
",
17213,1.1712E+18,None,29-11-2020 09:23,None,0,1,"RT @ANMEOM1: Ghosts by anmeom '
",
17214,3302980924,None,29-11-2020 09:22,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
